"subid","run","trial_number","block_type","congruence","trial_type","RT"
506,2,7,1,1,2,1.2717022895813
506,2,8,1,1,2,0.876190185546875
506,2,9,1,1,2,1.34343719482422
506,2,10,1,1,2,0.994865417480469
506,2,11,1,1,2,1.09468531608582
506,2,12,1,1,2,0
506,2,13,1,1,1,1.33490324020386
506,2,14,1,1,2,0
506,2,15,1,1,2,1.03947639465332
506,2,16,1,1,2,1.22845339775085
506,2,17,1,1,1,1.67223072052002
506,2,18,1,1,2,1.10210943222046
506,2,19,1,1,2,0.982282638549805
506,2,20,1,1,1,1.53792214393616
506,2,21,1,1,2,1.30927276611328
506,2,22,1,1,1,1.11953663825989
506,2,23,1,1,2,1.41935300827026
506,2,24,1,1,2,1.10341811180115
506,2,25,1,1,1,1.68278503417969
506,2,26,1,1,2,0
506,2,27,1,1,1,0.890093088150024
506,2,28,1,1,2,0.877527236938477
506,2,29,1,1,2,1.01718950271606
506,2,30,1,1,2,1.22902035713196
506,2,31,1,1,2,1.5065062046051
506,2,32,1,1,2,1.16566824913025
506,2,33,1,1,2,1.82818651199341
506,2,34,1,1,2,0.935672521591187
506,2,35,1,1,2,1.04343056678772
506,2,36,1,1,2,1.34308266639709
506,2,37,1,1,1,1.59512901306152
506,2,38,1,1,2,1.71916723251343
506,2,39,1,1,2,1.26767563819885
506,2,40,1,1,2,1.23263216018677
506,2,41,1,1,2,1.67732691764832
506,2,42,1,1,2,1.25602054595947
506,2,43,1,1,2,1.20460939407349
506,2,44,1,1,1,0.936543703079224
506,2,45,1,1,2,1.42146015167236
506,2,46,1,1,2,1.12136054039001
506,2,47,1,1,2,0.982033729553223
506,2,48,1,1,2,1.31050443649292
506,2,49,1,1,2,1.18618369102478
506,2,50,1,1,2,0
506,2,51,1,1,2,0
506,2,52,1,1,2,1.3437032699585
506,2,53,1,1,1,1.22770071029663
506,2,54,1,1,2,0.983781099319458
506,2,55,1,1,1,1.94846963882446
506,2,56,1,1,2,1.00189542770386
506,2,57,1,1,2,1.43733763694763
506,2,58,1,1,1,1.74596548080444
506,2,59,1,1,2,0.918585777282715
506,2,60,1,1,2,1.2656512260437
506,3,1,1,NA,2,1.43560123443604
506,3,2,1,NA,1,0.863653421401978
506,3,3,1,NA,1,0.63573431968689
506,3,4,1,NA,2,1.08766150474548
506,3,5,1,NA,2,1.147625207901
506,3,6,1,NA,2,1.52818560600281
506,3,7,1,NA,2,0.699861288070679
506,3,8,1,NA,1,0.93524432182312
506,3,9,1,NA,2,1.53108358383179
506,3,10,1,NA,2,1.07188129425049
506,3,11,1,NA,2,1.21213555335999
506,3,12,1,NA,2,0.951489448547363
506,3,13,1,NA,2,1.81445670127869
506,3,14,1,NA,2,1.15505123138428
506,3,15,1,NA,2,1.37773013114929
506,3,16,1,NA,1,1.54244184494019
506,3,17,1,NA,1,0.890219449996948
506,3,18,1,NA,2,0.789321422576904
506,3,19,1,NA,1,0.961607217788696
506,3,20,1,NA,2,1.08565711975098
506,3,21,1,NA,2,1.39364814758301
506,3,22,1,NA,2,0.862404823303223
506,3,23,1,NA,2,0.970442533493042
506,3,24,1,NA,1,1.68655252456665
506,3,25,1,NA,1,0.835137367248535
506,3,26,1,NA,2,0.975874185562134
506,3,27,1,NA,2,1.0509774684906
506,3,28,1,NA,2,1.25090312957764
506,3,29,1,NA,2,1.63091850280762
506,3,30,1,NA,2,0
506,3,31,1,NA,1,0.952204465866089
506,3,32,1,NA,2,1.10437345504761
506,3,33,1,NA,2,0.876404285430908
506,3,34,1,NA,2,0
506,3,35,1,NA,2,0.843571662902832
506,3,36,1,NA,2,1.10640931129456
506,3,37,1,NA,1,1.1340754032135
506,3,38,1,NA,2,1.02063155174255
506,3,39,1,NA,2,1.24509644508362
506,3,40,1,NA,2,1.00873398780823
506,3,41,1,NA,2,0.892558574676514
506,3,42,1,NA,2,1.54511094093323
506,3,43,1,NA,2,1.40589356422424
506,3,44,1,NA,2,1.03806233406067
506,3,45,1,NA,1,1.37063813209534
506,3,46,1,NA,2,1.50293612480164
506,3,47,1,NA,2,0
506,3,48,1,NA,2,1.3101053237915
506,3,49,1,NA,1,0.941314220428467
506,3,50,1,NA,2,1.08927726745605
506,3,51,1,NA,2,1.27199411392212
506,3,52,1,NA,2,1.18108034133911
506,3,53,1,NA,2,0.953616380691528
506,3,54,1,NA,2,0
506,3,55,1,NA,2,0.92591404914856
506,3,56,1,NA,2,0.913394689559937
506,3,57,1,NA,2,0.920295000076294
506,3,58,1,NA,2,1.32027173042297
506,3,59,1,NA,2,1.05179810523987
506,3,60,1,NA,2,1.00741171836853
506,4,1,2,0,1,0.859657287597656
506,4,2,2,0,1,1.13555431365967
506,4,3,2,0,2,1.01884317398071
506,4,4,2,0,1,1.36639833450317
506,4,5,2,0,1,0.985780715942383
506,4,6,2,0,1,1.02099609375
506,4,7,2,0,1,1.04981708526611
506,4,8,2,0,1,1.39810252189636
506,4,9,2,0,1,0.898057460784912
506,4,10,2,0,1,0.877625226974487
506,4,11,2,0,1,0.962206363677979
506,4,12,2,0,1,0.870172500610352
